regime,rep,n,memory,order,noise_sd,oracle_vwk_mse,empirical_vwk_mse,wiener_mse,monomial_ls_mse,huber_mse,wiener_oracle_ratio,wiener_empirical_ratio,empirical_oracle_ratio,oracle_coef_rmse
uniform_platykurtic,15,1200,3,2,0.25,0.00345412695458965,0.0022916051893317173,0.0034541269545896947,0.00023755213768812542,0.00022313378912193447,1.0000000000000129,1.5072958337980524,0.6634397691395683,0.018476722217463947
uniform_platykurtic,16,1200,3,2,0.25,0.012533527635946954,0.012561535450157337,0.012533527635946935,0.000582313798964455,0.0005574035595722274,0.9999999999999984,0.9977703510592687,1.0022346313842285,0.037312205049526335
uniform_platykurtic,17,1200,3,2,0.25,0.014217016939311761,0.008097830653778289,0.014217016939311704,0.00041574644744111653,0.0004379421068148587,0.999999999999996,1.7556574775589215,0.5695871847340079,0.036065325643407344
uniform_platykurtic,18,1200,3,2,0.25,0.012165581497579387,0.004708225331554615,0.012165581497579316,9.868891254042663e-05,0.00010673043013208229,0.9999999999999941,2.5838995886720544,0.38701194287272017,0.03696568772120696
uniform_platykurtic,19,1200,3,2,0.25,0.015078221700845865,0.012363600306581258,0.015078221700845823,0.0007412531454359709,0.0007824330385443405,0.9999999999999972,1.2195656060491982,0.8199640880653505,0.03797000497133728
uniform_platykurtic,20,1200,3,2,0.25,0.02622856135224577,0.016539743239530585,0.026228561352245973,0.0010684596437332595,0.0009607967385577639,1.0000000000000078,1.5857901161100711,0.6306004747040539,0.050065467394149826
uniform_platykurtic,21,1200,3,2,0.25,0.028786911275782066,0.008029407932183728,0.028786911275781975,0.00024022951057889037,0.0003206527296647839,0.9999999999999969,3.5851848005377036,0.2789256497600954,0.05086934390557316
uniform_platykurtic,22,1200,3,2,0.25,0.01400711800636786,0.005309593663513557,0.014007118006367792,0.000704082343219629,0.0007282203748030934,0.9999999999999951,2.6380772040282188,0.3790639631292983,0.03525241223959912
uniform_platykurtic,23,1200,3,2,0.25,0.006565988088463517,0.0071459045467997875,0.006565988088463433,0.0004148102656494628,0.0003999163792306679,0.9999999999999872,0.9188463189595691,1.0883212778523292,0.025827612167238886
uniform_platykurtic,24,1200,3,2,0.25,0.003543597676059524,0.004810574880650704,0.0035435976760595476,0.00036486649374733196,0.0004695070229798786,1.0000000000000067,0.7366266535654096,1.3575398000599372,0.01856304312941645
uniform_platykurtic,25,1200,3,2,0.25,0.014790377846280007,0.006713171199508834,0.014790377846280034,0.0004074278794309842,0.0005585837184413844,1.0000000000000018,2.2031879430338623,0.4538877416980455,0.03891791665758466
uniform_platykurtic,26,1200,3,2,0.25,0.010586028264126367,0.00815965936931266,0.01058602826412632,0.0006151361251050976,0.0007393340805843643,0.9999999999999956,1.297361542313751,0.7707951618610241,0.03423866755598211
uniform_platykurtic,27,1200,3,2,0.25,0.011119933937878326,0.006098796448161093,0.011119933937878437,0.0002880664240221434,0.00030759990003971033,1.00000000000001,1.8232997333812173,0.5484561762895453,0.03560065029869447
uniform_platykurtic,28,1200,3,2,0.25,0.007835189925514218,0.007025078767950078,0.007835189925514196,0.0006064124666315646,0.0006299141785122453,0.9999999999999971,1.1153170212496433,0.896606059934026,0.029723680896701903
uniform_platykurtic,29,1200,3,2,0.25,0.019309631346146522,0.015445204951766413,0.019309631346146532,0.0006828462228686067,0.0007065431904069409,1.0000000000000004,1.2502023382951717,0.7998705244493803,0.046595057186481416
uniform_platykurtic,30,1200,3,2,0.25,0.007279766275940707,0.004385236092518109,0.007279766275940726,0.000595823486089249,0.0005560293207055648,1.0000000000000027,1.6600625650147167,0.6023869347304615,0.02758136949518338
uniform_platykurtic,31,1200,3,2,0.25,0.013761272162900155,0.011898160207999118,0.013761272162900125,0.0003730139652892624,0.0004232653415712885,0.9999999999999979,1.1565882390496338,0.8646119390092499,0.04060553111324318
uniform_platykurtic,32,1200,3,2,0.25,0.0145170313437892,0.013792036505434398,0.014517031343789117,0.0005225944784538532,0.0006266574239073058,0.9999999999999942,1.052566191952077,0.9500590154291445,0.03773139567558345
uniform_platykurtic,33,1200,3,2,0.25,0.0030256480090491817,0.0023648520172283543,0.0030256480090491734,0.0007845065640674746,0.0008864427658220571,0.9999999999999972,1.2794238231427617,0.7816018288166692,0.01736876975347223
uniform_platykurtic,34,1200,3,2,0.25,0.017001588193689156,0.01125581723764045,0.017001588193689073,0.0004236548186210381,0.000490856964092317,0.9999999999999951,1.5104712376489426,0.6620450459927334,0.038944958530365344
uniform_platykurtic,35,1200,3,2,0.25,0.005701010685174193,0.008291408362835016,0.005701010685174185,0.00048135309689572653,0.0005410266171584135,0.9999999999999987,0.6875804972684862,1.4543751662134754,0.02432190111596997
uniform_platykurtic,36,1200,3,2,0.25,0.008255802888315827,0.011361788644915674,0.008255802888315816,0.00037118262359847804,0.0004090447833871201,0.9999999999999988,0.72662880346839,1.3762184972942668,0.027892418097843527
uniform_platykurtic,37,1200,3,2,0.25,0.020129767345044475,0.019302388806624268,0.020129767345044503,0.0005527300626326145,0.0005669857437108632,1.0000000000000013,1.0428640489376264,0.9588977595101768,0.04447763073885572
uniform_platykurtic,38,1200,3,2,0.25,0.011146136069911551,0.012748480314958304,0.011146136069911555,0.00047052724105790193,0.0007142370105197316,1.0000000000000002,0.874310960564715,1.143757821992879,0.032255752074154105
uniform_platykurtic,39,1200,3,2,0.25,0.005215293896929309,0.005572934645453598,0.005215293896929269,0.0010730534959060647,0.0011407644207808774,0.9999999999999923,0.9358254185133693,1.068575377647435,0.023047302778872947
symmetric_contaminated,0,1200,3,2,0.25,0.04140404735508015,0.016468816851808208,0.04140404735508012,0.0008271529435492071,0.0008676923275167802,0.9999999999999991,2.514087546643287,0.3977586227397533,0.07723059798117549
symmetric_contaminated,1,1200,3,2,0.25,0.04370866851347784,0.04520612254910812,0.04370866851347781,0.0006666813953672497,0.0006517787312364852,0.9999999999999992,0.9668749728755524,1.0342598868041137,0.08257912533051616
symmetric_contaminated,2,1200,3,2,0.25,0.03555328324704052,0.034857688896312945,0.03555328324704049,0.0005072983537297893,0.00041498431701559056,0.9999999999999992,1.0199552630352702,0.9804351585226527,0.0692016561281544
symmetric_contaminated,3,1200,3,2,0.25,0.0321621927015191,0.023157208867678324,0.03216219270151922,0.00033704103387453545,0.000422467672753391,1.0000000000000038,1.3888630916314617,0.7200133735466535,0.06672160105636364
symmetric_contaminated,4,1200,3,2,0.25,0.030685485807058512,0.034791906165341786,0.03068548580705836,0.0005471869849082553,0.0004672893349808973,0.999999999999995,0.881971963859397,1.1338228889092146,0.05131320007507543
symmetric_contaminated,5,1200,3,2,0.25,0.05289686854890262,0.07001765825716272,0.052896868548902895,0.0011230328213873827,0.0012310005853119186,1.0000000000000053,0.755478972955963,1.3236635774087857,0.06530599078882865
symmetric_contaminated,6,1200,3,2,0.25,0.03847185858892563,0.04355508891993541,0.0384718585889257,0.0005927899593850635,0.0005301661186293773,1.0000000000000018,0.8832919308153888,1.1321285354400066,0.06510952662292054
symmetric_contaminated,7,1200,3,2,0.25,0.4014857902540932,0.13917455785028504,0.4014857902540928,0.00029200498583257687,0.00019295852027487908,0.999999999999999,2.88476425903925,0.346648776192562,0.17434036527015978
