regime,order,n,reps,fail_rate,orth_err_median,orth_err_p90,hankel_cond_median,rel_signal_err_emp_vs_oracle_median,rel_signal_err_p90
centered_exponential_skew,4,5000,200,0.0,6.059256938721234,20.234465191049054,50738.86360392606,0.5171496261221028,0.6468165383466824
centered_exponential_skew,4,20000,200,0.0,1.9465745018267562,8.067517096115562,64399.17657990591,0.38714575853458666,0.5560337191126389
centered_exponential_skew,5,250,200,0.0,6927.412576028128,137187.0151984341,1057498.3222437953,0.9983369517460686,1.4892908477526678
centered_exponential_skew,5,500,200,0.0,2496.930336647187,19267.97011241518,1840899.9082945434,0.9399497722765305,1.2394899166922506
centered_exponential_skew,5,1000,200,0.0,777.3241891910916,4874.959065009195,2389740.9112568735,0.899145836414875,1.1665382849845025
centered_exponential_skew,5,2500,200,0.0,197.0458014704284,1358.4433976738515,4189324.367871395,0.8086248946510981,1.0356510851389624
centered_exponential_skew,5,5000,200,0.0,123.58336954866695,524.4487796020009,4332160.25341222,0.7439000303423033,0.9050131400728555
centered_exponential_skew,5,20000,200,0.0,16.93960358427813,89.49031802840766,7000541.566477715,0.5337731550328875,0.7381893598261501
centered_exponential_skew,6,250,200,0.0,717222.1251560673,12484129.702239932,55703221.17300817,1.2764580911730454,1.7544650356861549
centered_exponential_skew,6,500,200,0.0,103259.51919654146,1863984.7765714321,147578718.10433882,1.1371392088696362,1.4419107775192213
centered_exponential_skew,6,1000,200,0.0,23502.426103154023,266636.63306522765,256583597.73552865,0.9435116755788271,1.2865161966552416
centered_exponential_skew,6,2500,200,0.0,6789.134214655474,65900.65799936793,353381255.7694488,0.8937438036308349,1.1702336384438285
centered_exponential_skew,6,5000,200,0.0,2904.90778850262,14299.681673406254,430724126.03169227,0.8202202398925161,1.0425816121428642
centered_exponential_skew,6,20000,200,0.0,452.9329597652413,1754.8909855173206,823874969.6274272,0.7396312778929375,0.9058671617862982
uniform_platykurtic,2,250,200,0.0,0.08810055138950594,0.1602083218997566,7.760632188715159,0.07913809334768465,0.16442817257488285
uniform_platykurtic,2,500,200,0.0,0.06984773795222315,0.12968441212776854,7.68540887044708,0.0629113872647791,0.1392173038849127
uniform_platykurtic,2,1000,200,0.0,0.043663212970854764,0.07775526992119396,7.65611406117897,0.039647427126239504,0.09232640480166185
uniform_platykurtic,2,2500,200,0.0,0.029199484726375208,0.046005850915943065,7.642822742192648,0.025837253862724587,0.053370643903713405
uniform_platykurtic,2,5000,200,0.0,0.01987970125213865,0.033699833497388816,7.67753534147615,0.018628442828319495,0.035884941973282625
uniform_platykurtic,2,20000,200,0.0,0.010880716953266796,0.018655941160189093,7.674538061009909,0.0100593163325722,0.019392522002079013
uniform_platykurtic,3,250,200,0.0,0.11626162642151225,0.1939321431514635,37.460751597787095,0.11074424348796169,0.22672683956816692
uniform_platykurtic,3,500,200,0.0,0.07604585081663955,0.1254786711739043,36.52447005288316,0.06961217558963115,0.15293827372146687
uniform_platykurtic,3,1000,200,0.0,0.05610182343143816,0.08592189064550804,36.42071152018755,0.05343065245590552,0.10462578042770052
uniform_platykurtic,3,2500,200,0.0,0.03431393499355073,0.05630381306618697,36.24207843715779,0.029943847469284846,0.07470367998103976
uniform_platykurtic,3,5000,200,0.0,0.024507849274477217,0.0392935526430743,36.12723651513111,0.024077454551653964,0.05217039690644661
uniform_platykurtic,3,20000,200,0.0,0.011741800127241355,0.019688382802762226,36.20579738900983,0.010840454706080017,0.024098324057961314
uniform_platykurtic,4,250,200,0.0,0.12726931337008246,0.2297289079875157,220.02045070878884,0.13965270554051434,0.29807231537425133
uniform_platykurtic,4,500,200,0.0,0.09232092685042922,0.1457464297019104,218.02382171388865,0.0938395434374594,0.22295511267668974
uniform_platykurtic,4,1000,200,0.0,0.0646353032237815,0.101384834455854,214.53194758617968,0.07282059519709966,0.15721124643417497
uniform_platykurtic,4,2500,200,0.0,0.039965811272054896,0.06104956928123226,213.5391895641994,0.039578384486306184,0.08767976700182432
uniform_platykurtic,4,5000,200,0.0,0.02914022040320193,0.04068033511040871,214.62658728002623,0.032367838858834735,0.06515858944695345
uniform_platykurtic,4,20000,200,0.0,0.014096699433097623,0.021017119217156988,214.61162237699628,0.01348328762062445,0.03299536981651772
uniform_platykurtic,5,250,200,0.0,0.15027816003985667,0.24649965984280015,1460.1078985219153,0.16326089913272945,0.34054939403078244
uniform_platykurtic,5,500,200,0.0,0.10700706584831154,0.16778615380713202,1408.5350630713024,0.12376533208145515,0.261174192282203
uniform_platykurtic,5,1000,200,0.0,0.06694943239529652,0.10319747847978825,1400.4674199805065,0.08462072139844956,0.17925561682430577
uniform_platykurtic,5,2500,200,0.0,0.04170819797779757,0.06206965191407951,1400.8790097339747,0.04889749238200833,0.10904683801454941
uniform_platykurtic,5,5000,200,0.0,0.03159190989169547,0.04785735232756883,1394.7427590320508,0.04003005032487067,0.08774020024996851
uniform_platykurtic,5,20000,200,0.0,0.015602316591825264,0.022021108376540255,1387.0302719557744,0.01861791708978263,0.03548274634615666
uniform_platykurtic,6,250,200,0.0,0.1652640189003913,0.2926743848428197,9982.3510898383,0.1998946994578229,0.39958791883421885
uniform_platykurtic,6,500,200,0.0,0.11296943097965544,0.1929324146669651,9884.139652437205,0.1417548712430731,0.34490272180093917
uniform_platykurtic,6,1000,200,0.0,0.07490768012063054,0.10980275818766619,9799.739813427568,0.10132647499637829,0.20966971513408472
uniform_platykurtic,6,2500,200,0.0,0.049017500098197025,0.07124764243503842,9714.658337923018,0.06654234571223645,0.13680663928343548
uniform_platykurtic,6,5000,200,0.0,0.03517097343831675,0.05114855170806205,9624.699507561798,0.04496320290298933,0.10806781730783296
